mass_A
t	x	v_{x}
0.44166666666666665	0.0527763725590239	0.18463670219466216
0.44583333333333325	0.053490874714749476	0.18660386974071438
0.45	0.05433140480686319	0.1896657221570812
0.45416666666666683	0.05507142239939186	0.18735289542461078
0.4583333333333335	0.055892678935401646	0.1928794144327998
0.46250000000000024	0.05667875085299853	0.17779301464671754
0.46666666666666673	0.05737428739079092	0.17742743719696788
0.4708333333333335	0.05815731282963993	0.1854153704317332
0.475	0.05891941547772203	0.18630386025036258
0.47916666666666674	0.059709844998392936	0.18998718303198564
0.4833333333333335	0.060502642002988605	0.1935722658917726
0.4875	0.06132294721415768	0.1820249492807495
0.49166666666666675	0.06201951658032817	0.1699519346263679
0.49583333333333324	0.06273921333604407	0.17868580975717607
0.5	0.06350856499497129	0.18847747987412128
0.5041666666666668	0.06430985900166178	0.19628010107587607
0.5083333333333333	0.06514423250393692	0.19839922138805544
0.5125000000000002	0.06596318584656227	0.19801526090491514
0.5166666666666667	0.06679435967814457	0.19658040168142518
0.5208333333333335	0.06760135586057414	0.189818700502501
0.5250000000000002	0.0683761821823321	0.188416949809071
0.5291666666666668	0.06917149710898304	0.18727749033703667
0.5333333333333334	0.0699368279351407	0.1928244717940907
0.5375	0.07077836770726711	0.19727344155369345
0.5416666666666667	0.07158077328142146	0.1975996896500463
0.5458333333333335	0.0724250317876842	0.1903342733905597
0.55	0.07316689222634279	0.179544297021733
0.5541666666666667	0.07392123426286532	0.19801674653429877
0.5583333333333332	0.07481703178079527	0.19654680247684747
0.5625	0.07555912428350567	0.1853196729371657
0.5666666666666668	0.076361362388605	0.1994754094491801
0.5708333333333333	0.07722141936224883	0.20149140868807655
0.5750000000000002	0.07804045746100566	0.1929911804605415
0.5791666666666667	0.07882967919942005	0.19814892807767762
0.5833333333333335	0.07969169852831967	0.2155012188286675
0.5875000000000002	0.08062552268965897	0.1050346783704286
0.5916666666666668	0.08056698751473987	-0.011942356436530464
0.5958333333333334	0.0805260030526879	0.2807692503215028
0.6	0.08290673126741907	0.3891585972599244
0.6041666666666667	0.08376899136318725	0.2061446585632093
0.6083333333333335	0.0846246034221125	0.21151628650173038
0.6125	0.08553162708403497	0.2042119866082585
0.6166666666666667	0.08632636997718127	0.1930074465741601
0.6208333333333332	0.087140022472153	0.20451541766724332
0.625	0.0880306651244083	0.20246394584631433
0.6291666666666668	0.08882722202087232	0.19487768864429914
0.6333333333333333	0.08965464586311081	0.2057572879421747
