mass_A
t	v_{x}	x
0.4416666666666669	-0.03992282169011527	0.17363811412968003
0.44583333333333336	-0.03772161820078133	0.17355690403252214
0.4500000000000001	-0.047621080426416613	0.17332376731134017
0.4541666666666666	-0.028093541612798745	0.17316006169563533
0.45833333333333337	-0.016711348820006404	0.17308965446456684
0.46250000000000013	-0.029928909766776684	0.1730208004554686
0.4666666666666666	-0.043391894864448	0.17284024688317703
0.4708333333333334	-0.02211615655542741	0.1726592013315982
0.47499999999999987	-0.022563183931833878	0.1726559455785485
0.47916666666666663	-0.017903177344227635	0.17247117479883298
0.4833333333333334	-0.054370277875172845	0.17250675243401328
0.4874999999999999	-0.07854330466130538	0.17201808914987318
0.49166666666666686	-0.04696721007426861	0.17185222489516902
0.49583333333333335	-0.050917514380869486	0.17162669573258763
0.5000000000000001	-0.04121718229632422	0.17142791227532847
0.5041666666666669	-0.041372133777443074	0.17128321921345155
0.5083333333333334	-0.03414630168704076	0.1710831444938498
0.5125000000000001	-0.034884483843643024	0.17099866669939287
0.5166666666666666	-0.02334427312376822	0.17079244046181943
0.5208333333333334	0.012178740561984897	0.17080413109002815
0.5250000000000001	0.022679204554787447	0.17089392996650263
0.5291666666666667	0.01316487204940764	0.17099312446131806
0.5333333333333333	0.015428526289768658	0.171003637233581
0.5374999999999999	0.026317480390947157	0.17112169551373277
0.5416666666666666	0.020077734736349145	0.17122294957017223
0.5458333333333334	0.021586093797959723	0.17128900996986904
0.5499999999999999	0.03669387152377664	0.17140283368515527
0.5541666666666668	0.03597387861542343	0.17159479223256716
0.5583333333333333	0.02765081949750475	0.17170261600695044
0.5625000000000001	0.015444858440528147	0.1718252157283797
0.5666666666666669	-0.002431906618076483	0.17183132316062152
0.5708333333333334	0.0037932350218873125	0.17180494983989572
0.5750000000000001	-7.463749942052194E-4	0.17186293345247058
0.5791666666666666	0.003249376851477252	0.17179873004827736
0.5833333333333334	0.03292712931267749	0.17189001159289954
0.5875000000000001	0.03532296692301765	0.1720731227925497
0.5916666666666667	0.01586803086204176	0.1721843696505914
0.5958333333333333	-0.0017110298769957252	0.1722053563830667
0.5999999999999999	-4.7500662415332786E-4	0.1721701110682831
0.6041666666666666	0.0023145510338022346	0.17220139799453207
0.6083333333333334	4.8158310496182927E-4	0.17218939899356475
0.6125000000000002	8.239424435926888E-4	0.17220541118707341
0.6166666666666668	-0.003566506453649274	0.1721962651805947
0.6208333333333333	-7.115876205451516E-4	0.1721756902999597
0.6250000000000001	0.0034970674317182644	0.1721903352837568
0.6291666666666669		0.17220483252855737
